license_num,center_name,City,enrollment_2yrsup,HEPB_pct_vac,HEPB_partial,HEPB_nodoses,HEPB_pct_nonmedical,HEPB_pct_medical,DTAP_pct_vac,DTAP_partial,DTAP_nodoses,DTAP_pct_nonmedical,DTAP_pct_medical,POLIO_pct_vac,POLIO_partial,POLIO_nodoses,POLIO_pct_nonmedical,POLIO_pct_medical,HIB_pct_vac,HIB_pct_nodoses,HIB_pct_nonmedical,HIB_pct_medical,MMR_pct_vac,MMR_pct_nodoses,MMR_pct_nonmedical,MMR_pct_medical,VARICEL_pct_vac,VARICAL_nodoses,VARICEL_pct_disease_history,VARICEL_pct_nonmedical,VARICEL_pct_medical,HEPA_pct_vac,HEPA_pct_nodoses,HEPA_pct_nonmedical,HEPA_pct_medical,notes
1081031,Life Time Fitness Crosstown,Eden Prairie,5,1,0,0,0,0,1,0,0,0,0,0.8,0.2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1086219,Prestige Preschool Academy Eagan,Eagan,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.8,0.2,0,0,0,1,0,0,0,
1054058,Redeeming Grace Lutheran Preschool,Rogers,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1081518,Zuhur Childcare Center Inc,St Louis Park,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
830372,Agape Child Development Center,Saint Paul,6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1079345,Angies Infant & Toddler Daycare,Belle Plaine,6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
807677,Christ the King Church,Pipestone,6,0.667,0,0,0.333,0,0.667,0,0,0.333,0,0.667,0,0,0.333,0,0.667,0,0.333,0,0.667,0,0.333,0,0.5,0,0,0.5,0,0.5,0.167,0.333,0,
1081025,Life Time Fitness Woodbury,Woodbury,6,0.833,0.167,0,0,0,0.833,0.167,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1078602,Mes Amis French School,Minnetonka,6,0.667,0.167,0,0,0.167,0.667,0.167,0,0,0.167,0.833,0,0,0,0.167,0.833,0,0,0.167,0.667,0.167,0,0.167,0.667,0.167,0,0,0.167,0.667,0.167,0,0.167,
802190,Sandcastle Child Care Center II,Saint Paul,6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1088084,Yellow Brick Road Early Childhood Development Center,Maple Grove,6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1065673,Berea Lutheran Preschool,Inver Grove Heights,7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
801305,Koenen's Country Preschool,Miltona,7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1062831,Tri-Valley Hutchinson Head Start Center,Hutchinson,7,1,0,0,0,0,0.857,0.143,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1087459,Compass Child Care,Coon Rapids,8,0.875,0,0,0,0.125,0.875,0,0,0,0.125,0.875,0,0,0,0.125,0.875,0,0,0.125,0.875,0,0,0.125,0.875,0,0,0,0.125,0.875,0,0,0.125,
1055338,His Kids Child Care Center Two,Red Wing,8,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
830825,Immanuel Lutheran Nursery School,Lewiston,8,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
801181,JOY Academy,Saint Paul,8,0.875,0,0,0.125,0,0.875,0.125,0,0,0,0.875,0,0,0.125,0,0.875,0,0.125,0,0.875,0,0.125,0,0.875,0,0,0.125,0,0.875,0,0.125,0,
1047153,Lasting Impressions Child Care Learning Center,Saint Paul,8,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1042530,Little Blessings Preschool Inc.,Madison,8,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
809291,Tri-Valley Owatonna Head Start Center,Owatonna,8,1,0,0,0,0,0.875,0.125,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1084538,Ayeeyo Childcare Center Inc,Minneapolis,9,0.667,0.111,0,0.222,0,0.444,0.333,0,0.222,0,0.778,0,0,0.222,0,0.778,0,0.222,0,0.778,0,0.222,0,0.778,0,0,0.222,0,0.778,0,0.222,0,
1037619,Bright Horizons Woodbury,Woodbury,9,0.778,0,0,0,0.222,0.778,0,0,0,0.222,0.778,0,0,0,0.222,0.778,0,0,0.222,0.778,0,0,0.222,0.778,0,0,0,0.222,0.778,0,0,0.222,
1064579,Bright Start Child Care Center Inc,Saint Paul,9,0.889,0.111,0,0,0,0.889,0.111,0,0,0,0.889,0.111,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
807661,Kids ABC Learning Center Inc,Chisholm,9,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1081035,Life Time Fitness Eagan,Eagan,9,0.889,0.111,0,0,0,0.889,0.111,0,0,0,1,0,0,0,0,1,0,0,0,0.889,0.111,0,0,0.889,0.111,0,0,0,0.889,0.111,0,0,
800938,Little Angels Preschool,Chaska,9,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1081623,Small World Learning Center,Eagan,9,0.667,0.333,0,0,0,0.889,0.111,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
801801,Time For Tots,Minneapolis,9,0.556,0.222,0.222,0,0,0.556,0.333,0.111,0,0,0.556,0.333,0.111,0,0,1,0,0,0,1,0,0,0,0.889,0.111,0,0,0,0.889,0.111,0,0,
1009585,Babbitt Head Start 2142 Combination,Babbitt,10,1,0,0,0,0,0.8,0.2,0,0,0,0.9,0.1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1060749,Brooklyn Center Baby Steps,Brooklyn Center,10,0.9,0.1,0,0,0,0.9,0,0.1,0,0,0.9,0,0.1,0,0,0.9,0.1,0,0,1,0,0,0,0.9,0.1,0,0,0,0.8,0.2,0,0,
1082012,Camden Kids Inc,Minneapolis,10,0.7,0.1,0.1,0.1,0,0.8,0.1,0,0.1,0,0.7,0.1,0.1,0.1,0,0.9,0,0.1,0,0.9,0,0.1,0,0.9,0,0,0.1,0,0.9,0,0.1,0,
1063762,Cosmos Head Start,Cosmos,10,0.9,0.1,0,0,0,0.8,0.2,0,0,0,0.9,0.1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1074500,Crossroads Kids 4 Christ,Dawson,10,0.9,0.1,0,0,0,0.1,0.9,0,0,0,0.1,0.9,0,0,0,1,0,0,0,1,0,0,0,0.9,0.1,0,0,0,1,0,0,0,
830780,First Beginnings Preschool,Lakefield,10,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1086638,Gardner School of Eagan,Eagan,10,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
800921,Grant Community Preschool,Minneapolis,10,0.7,0.3,0,0,0,0.8,0.2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.9,0.1,0,0,0,0.9,0.1,0,0,
1066755,Holy Cross Preschool,Kimball,10,0.9,0,0,0.1,0,0.9,0,0,0.1,0,0.9,0,0,0.1,0,0.9,0,0.1,0,0.9,0,0.1,0,0.9,0,0,0.1,0,0.9,0,0.1,0,
801373,Learning Tree Preschool,Brainerd,10,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1081051,Life Time Fitness St Louis Park,St Louis Park,10,0.8,0,0,0.2,0,0.8,0,0,0.2,0,0.8,0,0,0.2,0,0.8,0,0.2,0,0.8,0,0.2,0,0.8,0,0,0.2,0,0.8,0,0.2,0,
1017051,Prince of Peace Lutheran Preschool-Holy Cross Campus,Saint Cloud,10,0.9,0,0,0.1,0,0.9,0,0,0.1,0,0.9,0,0,0.1,0,0.9,0,0.1,0,0.9,0,0.1,0,0.9,0,0,0.1,0,0.9,0,0.1,0,
800310,St Agnes Preschool,Osakis,10,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1063672,St Johns Lutheran Preschool,Wood Lake,10,0.9,0.1,0,0,0,0.9,0.1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1086639,The Gardner School of Edina,Edina,10,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1062995,Tri-Valley Winnebago Head Start Center,Winnebago,10,1,0,0,0,0,1,0,0,0,0,0.9,0.1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
802568,Two Harbors Head Start Minnehaha Elementary School,Two Harbors,10,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1077802,Un Mundo Nuevo Spanish Immersion Childrens Academy Inc,Rosemount,10,1,0,0,0,0,0.7,0.3,0,0,0,0.7,0.3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
830563,Aveda Child Care,Blaine,11,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1060637,Jennifer's Wee Care,Saint Paul,11,0.909,0.091,0,0,0,0.909,0.091,0,0,0,0.909,0.091,0,0,0,1,0,0,0,0.909,0.091,0,0,0.909,0.091,0,0,0,0.909,0.091,0,0,
1063351,Kidz Zone Daycare Center,Garrison,11,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1059364,Little Lambs Preschool,North Mankato,11,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.909,0.091,0,0,
1076251,Little Rabbits Hole,Apple Valley,11,0.818,0.182,0,0,0,0.909,0.091,0,0,0,0.727,0.091,0.182,0,0,1,0,0,0,0.909,0.091,0,0,1,0,0,0,0,1,0,0,0,
801787,Oak Grove Children's Center,Richfield,11,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1046194,People Serving People Children's Center,Minneapolis,11,1,0,0,0,0,0.909,0.091,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1081858,St Timothy School Preschool,Maple Lake,11,0.909,0,0,0.091,0,0.818,0.182,0,0,0,1,0,0,0,0,1,0,0,0,0.909,0,0.091,0,0.818,0,0.091,0.091,0,0.818,0,0.182,0,
1051067,Trinity Lutheran Preschool,Long Prairie,11,0.545,0.273,0,0.182,0,0.727,0,0.091,0.182,0,0.545,0.273,0,0.182,0,0.818,0,0.182,0,0.818,0,0.182,0,0.727,0.091,0,0.182,0,0.727,0.091,0.182,0,
810167,We Love Kids,Minneapolis,11,0.909,0.091,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
809650,Benedictine Early Childhood Program,Duluth,12,0.917,0,0.083,0,0,0.917,0,0.083,0,0,0.917,0,0.083,0,0,0.917,0.083,0,0,0.75,0.25,0,0,0.75,0.25,0,0,0,0.833,0.167,0,0,
1007151,Children First Christian Preschool,Little Falls,12,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1086726,Discovery Kids,Benton,12,0.833,0.083,0.083,0,0,0.833,0.083,0.083,0,0,0.917,0,0.083,0,0,0.917,0.083,0,0,0.917,0.083,0,0,0.917,0.083,0,0,0,0.833,0.167,0,0,
830831,East Creek Child Care,Chaska,12,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1078206,Little Friends Montessori School LLC,Becker,12,0.833,0,0,0.167,0,0.833,0,0,0.167,0,0.833,0,0,0.167,0,0.833,0,0.167,0,0.833,0,0.167,0,0.833,0,0.167,0,0,0.833,0,0,0.167,
801400,Little Lambs Day Care Center,Wells,12,0.917,0,0,0.083,0,0.917,0,0,0.083,0,0.917,0,0,0.083,0,0.917,0,0.083,0,0.917,0,0.083,0,0.833,0,0.083,0.083,0,0.917,0,0.083,0,
1065653,Mounds Park Academy,Maplewood,12,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
802025,Ramalynn Montessori,Apple Valley,12,0.917,0,0,0.083,0,0.917,0,0,0.083,0,0.833,0.083,0,0.083,0,1,0,0,0,0.833,0,0.167,0,0.917,0,0,0.083,0,0.917,0,0.083,0,
804356,Semcac Head Start-Preston,Preston,12,1,0,0,0,0,0.917,0.083,0,0,0,0.917,0.083,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
801598,Silver View Education Center,Mounds View,12,0.833,0.167,0,0,0,0.833,0.167,0,0,0,0.833,0.167,0,0,0,0.917,0.083,0,0,0.917,0.083,0,0,0.75,0.25,0,0,0,0.833,0.167,0,0,
800303,Canby Head Start,Canby,13,0.923,0,0,0.077,0,0.846,0.077,0,0.077,0,0.923,0,0,0.077,0,0.923,0,0.077,0,1,0,0,0,0.923,0,0,0.077,0,0.923,0,0.077,0,
830567,Elbow Lake Head Start-West Central Area North School,Elbow Lake,13,1,0,0,0,0,0.308,0.538,0,0.154,0,0.308,0.538,0,0.154,0,1,0,0,0,0.846,0,0.154,0,0.846,0,0,0.154,0,0.846,0,0.154,0,
809953,Gayle Johnson Cohen Early Childhood Talmud Torah,Saint Paul,13,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1065900,Heartland Christian Academy Preschool,Bemidji,13,0.923,0,0,0.077,0,0.923,0,0,0.077,0,0.923,0,0,0.077,0,0.923,0,0.077,0,0.923,0,0.077,0,0.923,0,0,0.077,0,0.846,0,0.154,0,
1065900,Heartland Christian Academy Preschool,Bemidji,13,0.923,0,0,0.077,0,0.923,0,0,0.077,0,0.923,0,0,0.077,0,0.923,0,0.077,0,0.923,0,0.077,0,0.923,0,0,0.077,0,0.846,0,0.154,0,
1086688,Hypointe Childcare LLC,Lakeville,13,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1079085,International Montessori Academy of Minnesota,Bloomington,13,0.846,0.077,0.077,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.923,0.077,0,0,0,0.923,0.077,0,0,
1082965,Lakes and Pines Head Start Cloquet,Cloquet,13,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.923,0.077,0,0,
1080452,Life Time Fitness Chanhassen,Chanhassen,13,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1075907,Montessori American Indian Childcare Center,Saint Paul,13,0.846,0.154,0,0,0,1,0,0,0,0,0.923,0.077,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1078594,Mt Olive Lutheran Preschool,Delano,13,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.923,0,0,0.077,0,1,0,0,0,
1073662,North Ridge Child Day Care LLC,New Hope,13,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
810849,"Reach-Up, Inc. Technical College Head Start",Saint Cloud,13,0.923,0,0,0.077,0,0.923,0,0,0.077,0,0.923,0.077,0,0,0,0.923,0,0.077,0,1,0,0,0,0.923,0,0,0.077,0,0.923,0,0.077,0,
800025,Abiding Savior Lutheran Preschool,Mounds View,14,0.929,0.071,0,0,0,0.714,0.286,0,0,0,0.143,0.857,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
800320,Carol's Corner Child Care Center,Saint Paul,14,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1082479,Discover Little Miracles Child Care,Saint Michael,14,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.857,0,0,0.143,0,0.929,0,0.071,0,
1051430,Discovery Montessori Academy,Princeton,14,0.786,0,0,0.214,0,0,0.714,0,0.286,0,0.786,0,0,0.214,0,0.786,0,0.214,0,0.786,0,0.214,0,0.786,0,0,0.214,0,0.786,0,0.214,0,
1082959,Lakes and Pines Head Start Chisago,Chisago City,14,0.929,0,0,0.071,0,0.929,0,0,0.071,0,0.929,0,0,0.071,0,0.929,0,0.071,0,0.929,0,0.071,0,0.929,0,0,0.071,0,0.929,0,0.071,0,
1081052,Life Time Fitness White Bear Lake,White Bear Lake,14,0.929,0,0,0.071,0,0.929,0,0,0.071,0,0.929,0,0,0.071,0,0.929,0,0.071,0,0.929,0,0.071,0,0.929,0,0,0.071,0,0.929,0,0.071,0,
830786,Little Angel Pre-School,Stacy,14,0.929,0,0,0,0.071,0.929,0,0,0,0.071,0.929,0,0,0,0.071,0.929,0,0,0.071,0.929,0,0,0.071,0.929,0,0,0,0.071,0.929,0,0,0.071,
1065870,Lucky Child Care Center LLC,Minneapolis,14,0.714,0.286,0,0,0,0.643,0.286,0.071,0,0,0.786,0.143,0.071,0,0,0.929,0.071,0,0,0.857,0.143,0,0,0.929,0.071,0,0,0,0.929,0.071,0,0,
830844,Melrose Head Start,Melrose,14,0.929,0,0,0.071,0,0.857,0,0,0.143,0,0.857,0,0,0.143,0,1,0,0,0,0.929,0,0.071,0,0.929,0,0,0.071,0,0.857,0,0.143,0,
801803,Olivia Head Start,Olivia,14,1,0,0,0,0,0.929,0.071,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
830468,Prairie Meadows Head Start,Spicer,14,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1056505,Robyn's Nest,North Mankato,14,1,0,0,0,0,0.929,0.071,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1066515,St Theodore Pre Kindergarten School,Albert Lea,14,0.929,0,0,0.071,0,0.929,0,0,0.071,0,0.929,0,0,0.071,0,0.929,0,0.071,0,0.929,0,0.071,0,0.857,0.071,0,0.071,0,0.929,0,0.071,0,
802387,St. Paul's Lutheran Preschool,Perham,14,0.929,0.071,0,0,0,0.929,0.071,0,0,0,0.929,0.071,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1055809,UMD Preschool at the Park,Duluth,14,0.714,0.071,0.214,0,0,1,0,0,0,0,0.857,0.143,0,0,0,1,0,0,0,1,0,0,0,0.929,0.071,0,0,0,0.929,0.071,0,0,
830703,Union Gospel Mission Child Development Center,Saint Paul,14,1,0,0,0,0,0.857,0.143,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.929,0.071,0,0,0,1,0,0,0,
1086477,White Pine Childcare Center,Ham Lake,14,0.929,0.071,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1028145,Zion Lutheran Preschool,Morris,14,0.857,0.071,0,0,0.071,0.929,0,0,0,0.071,0.929,0,0,0,0.071,0.929,0,0,0.071,0.929,0,0,0.071,0.929,0,0,0,0.071,0.929,0,0,0.071,
1055397,Augsburg Park Montessori School Ltd,Richfield,15,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.933,0.067,0,0,0,0.933,0.067,0,0,
1080698,BEGIN Program at St Marys,Morris,15,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.933,0.067,0,0,
1076083,Brooklyn Bridge Preschool,Brooklyn Park,15,0.933,0,0,0.067,0,0.933,0,0,0.067,0,0.933,0,0,0.067,0,0.933,0,0.067,0,0.933,0,0.067,0,0.933,0,0,0.067,0,0.933,0,0.067,0,
831034,Central Care for Children,Minneapolis,15,0.933,0.067,0,0,0,0.867,0.133,0,0,0,0.933,0.067,0,0,0,1,0,0,0,0.933,0.067,0,0,0.933,0.067,0,0,0,0.933,0.067,0,0,
1081780,Cori's Kidz Childcare Inc,Maplewood,15,1,0,0,0,0,0.933,0.067,0,0,0,0.933,0.067,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1078613,First Steps,Rochester,15,0.933,0.067,0,0,0,0.933,0.067,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.933,0.067,0,0,
1057573,Grin N Giggles,Albany,15,0.667,0.2,0.133,0,0,0.6,0.267,0.133,0,0,0.6,0.333,0.067,0,0,0.867,0.133,0,0,0.667,0.333,0,0,0.533,0.467,0,0,0,0.733,0.267,0,0,
1000921,His Kids Child Care,Red Wing,15,0.933,0,0,0.067,0,0.933,0,0,0.067,0,0.933,0,0,0.067,0,0.933,0,0.067,0,0.933,0,0.067,0,0.933,0,0,0.067,0,0.933,0,0.067,0,
1062682,Hyatt Daycare & Learning Center,Faribault,15,1,0,0,0,0,0.4,0,0,0.6,0,0.8,0.2,0,0,0,1,0,0,0,1,0,0,0,0.933,0.067,0,0,0,1,0,0,0,
1081046,Life Time Fitness Plymouth,Plymouth,15,0.867,0.133,0,0,0,0.867,0.133,0,0,0,0.867,0.133,0,0,0,0.933,0.067,0,0,0.867,0.133,0,0,0.867,0.133,0,0,0,0.933,0.067,0,0,
1087461,Little Red Caboose Child Care,Saint James,15,0.933,0.067,0,0,0,0.933,0.067,0,0,0,0.933,0.067,0,0,0,1,0,0,0,0.933,0.067,0,0,0.933,0.067,0,0,0,0.933,0.067,0,0,
800138,Mesabi Head Start,Aurora,15,0.933,0.067,0,0,0,0.933,0.067,0,0,0,0.933,0.067,0,0,0,1,0,0,0,0.933,0,0.067,0,1,0,0,0,0,1,0,0,0,
809495,Mount Olivet Day Services,Minneapolis,15,0.733,0.267,0,0,0,0.8,0.2,0,0,0,0.867,0.067,0.067,0,0,0.933,0.067,0,0,0.933,0.067,0,0,0.933,0.067,0,0,0,0.933,0.067,0,0,
801839,Our Savior's Lutheran Preschool,Crookston,15,0.933,0.067,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
1051888,Reach Up Inc Big Lake Head Start,Big Lake,15,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.933,0,0,0.067,0,1,0,0,0,
802254,Small World School for Young Children,Minnetonka,15,0.8,0,0,0.2,0,0.8,0.067,0,0.133,0,0.8,0.067,0,0.133,0,0.867,0,0.133,0,0.867,0,0.133,0,0.867,0,0,0.133,0,0.8,0,0.2,0,
