LicenseID,License Type,Name of Program,County,Capacity,Ages Served/FCC Classification,Initial Effective Date,StateAsOfDate,License State,Year
800003,Child Care Center,"A Child's Delight Too, Inc.",Rice,89,"Infant, Toddler, Preschool, School Age",5/1/1980,5/1/1980,Active,2018
800004,Child Care Center,A Child's View,Ramsey,34,"Toddler, Preschool, ",10/18/1988,10/18/1988,Active,2018
800005,Child Care Center,A Child's View,Ramsey,22,"Infant, Toddler, ",6/15/1987,6/15/1987,Active,2018
800020,Child Care Center,ABC Express,Hennepin,79,"Toddler, Preschool, ",8/20/1985,8/20/1985,Active,2018
800025,Child Care Center,Abiding Savior Lutheran Preschool,Ramsey,20,"Preschool, ",2/23/1967,2/23/1967,Active,2018
800056,Child Care Center,Children's Center (The),Freeborn,157,"Infant, Toddler, Preschool, School Age",9/1/1986,9/1/1986,Active,2018
800058,Child Care Center,Aldrich Memorial Nursery School,Olmsted,148,"Toddler, Preschool, School Age",11/27/1943,11/27/1943,Active,2018
800064,Child Care Center,All Saints Child Care Center,Hennepin,57,"Infant, Toddler, Preschool, ",9/3/1985,9/3/1985,Active,2018
800065,Child Care Center,All Saints Preschool,Hennepin,67,"Toddler, Preschool, School Age",1/1/1966,1/1/1966,Active,2018
800081,Child Care Center,Anew Dimension Child Enrichment Center,Hennepin,82,"Infant, Toddler, Preschool, School Age",4/6/1987,4/6/1987,Active,2018
800103,Child Care Center,Apple Tree Learning Center,St. Louis,127,"Infant, Toddler, Preschool, School Age",4/15/1982,4/15/1982,Active,2018
800130,Child Care Center,Associated Preschool,Steele,24,"Preschool, ",10/1/1963,10/1/1963,Active,2018
800136,Child Care Center,Audubon/Lake Park Headstart,Becker,20,"Preschool, ",11/1/1981,11/1/1981,Active,2018
800138,Child Care Center,Mesabi Head Start,St. Louis,20,"Preschool, ",2/1/1969,2/1/1969,Active,2018
800141,Child Care Center,Semcac Head Start Austin,Mower,89,"Toddler, Preschool, ",10/1/1984,10/1/1984,Active,2018
800142,Child Care Center,YMCA Preschool,Mower,24,"Preschool, ",2/3/1975,2/3/1975,Active,2018
800152,Child Care Center,West Side Head Start,Ramsey,60,"Preschool, ",8/20/1980,8/20/1980,Active,2018
800157,Child Care Center,Barnesville Child Day Care Center,Clay,62,"Infant, Toddler, Preschool, School Age",11/3/1975,11/3/1975,Active,2018
800163,Child Care Center,Beary Patch Preschool,Houston,18,"Preschool, ",9/11/1988,9/11/1988,Active,2018
800179,Child Care Center,Bemidji Head Start,Beltrami,130,"Toddler, Preschool, ",4/8/1970,4/8/1970,Active,2018
800182,Child Care Center,Benedictine Developmental Preschool,St. Louis,51,"Preschool, School Age",10/1/1980,10/1/1980,Active,2018
