"license_num","center_name","enrollment_2yrsup","MMR_pct_vac","MMR_pct_nodoses","MMR_pct_nonmedical","MMR_pct_medical","address_line1","address_line2","city","state","zip","county","capacity"
"1081031","Life Time Fitness Crosstown",5,1,0,0,0,"6233 Baker Rd",NA,"Eden Prairie","MN","55346","Hennepin",100
"1086219","Prestige Preschool Academy Eagan",5,1,0,0,0,"4150 Knob Dr",NA,"Eagan","MN","55122","Dakota",174
"1081518","Zuhur Childcare Center Inc",5,1,0,0,0,"3424 Wooddale Ave S",NA,"St Louis Park","MN","55416","Hennepin",84
"830372","Agape Child Development Center",6,1,0,0,0,"1037 University Ave",NA,"Saint Paul","MN","55104","Ramsey",64
"1079345","Angies Infant & Toddler Daycare",6,1,0,0,0,"617 E Main St",NA,"Belle Plaine","MN","56011","Scott",34
"807677","Christ the King Church",6,0.667,0,0.333,0,"804 - 8th Ave NE",NA,"Pipestone","MN","56164","Pipestone",12
"1081025","Life Time Fitness Woodbury",6,1,0,0,0,"675 Commons Dr",NA,"Woodbury","MN","55125","Washington",50
"1078602","Mes Amis French School",6,0.667,0.167,0,0.167,"13207 Lake St Extension",NA,"Minnetonka","MN","55305","Hennepin",17
"802190","Sandcastle Child Care Center II",6,1,0,0,0,"749 Juno Ave",NA,"Saint Paul","MN","55102","Ramsey",58
"1088084","Yellow Brick Road Early Childhood Development Center",6,1,0,0,0,"9745 Revere Lane N",NA,"Maple Grove","MN","55369","Hennepin",88
"1065673","Berea Lutheran Preschool",7,1,0,0,0,"9308 Rich Valley Blvd",NA,"Inver Grove Heights","MN","55077","Dakota",12
"801305","Koenen's Country Preschool",7,1,0,0,0,"17168 County Road 65 NE",NA,"Miltona","MN","56354","Douglas",10
"1087459","Compass Child Care",8,0.875,0,0,0.125,"2853 Northdale Blvd",NA,"Coon Rapids","MN","55433-0000","Anoka",118
"1055338","His Kids Child Care Center Two",8,1,0,0,0,"1805 Bush St",NA,"Red Wing","MN","55066","Goodhue",38
"830825","Immanuel Lutheran Nursery School",8,1,0,0,0,"22591 County Rd 25",NA,"Lewiston","MN","55952","Winona",10
"801181","JOY Academy",8,0.875,0,0.125,0,"655 Forest St",NA,"Saint Paul","MN","55106","Ramsey",15
"1047153","Lasting Impressions Child Care Learning Center",8,1,0,0,0,"2515 Wabash Ave Ste 200",NA,"Saint Paul","MN","55114","Ramsey",99
"1042530","Little Blessings Preschool Inc.",8,1,0,0,0,"106 8th Street",NA,"Madison","MN","56256","Lac Qui Parle",10
"809291","Tri-Valley Owatonna Head Start Center",8,1,0,0,0,"1909 St Paul Rd",NA,"Owatonna","MN","55060","Steele",16
"1084538","Ayeeyo Childcare Center Inc",9,0.778,0,0.222,0,"1837 E Lake St",NA,"Minneapolis","MN","55407","Hennepin",27
"1037619","Bright Horizons Woodbury",9,0.778,0,0,0.222,"8147 Globe Dr",NA,"Woodbury","MN","55125","Washington",75
"1064579","Bright Start Child Care Center Inc",9,1,0,0,0,"1197 University Ave W",NA,"Saint Paul","MN","55104","Ramsey",153
