school_district,school_name,K_enroll,MMR_pct_vac,MMR_pct_nodoses,MMR_pct_nonmedical,MMR_pct_medical,notes
BURNSVILLE,M.W. SAVAGE EL.,58,0.0000,0.9138,0.0862,0.0000,
DELANO,MT OLIVE LUTHERAN,5,0.0000,1.0000,0.0000,0.0000,
STILLWATER,ST CROIX MONTESSORI,9,0.0000,1.0000,0.0000,0.0000,
FERGUS FALLS,IQ ACADEMY,10,0.2000,0.8000,0.0000,0.0000,
ART AND SCIENCE ACADEMY,ART AND SCIENCE ACADEMY,45,0.3556,0.6000,0.0444,0.0000,
BEST ACADEMY,BEST ACADEMY EAST,45,0.3556,0.6444,0.0000,0.0000,
DULUTH,SPIRIT OF THE LAKE COMMUNITY SCHOOL,8,0.3750,0.3750,0.2500,0.0000,
ROSEVILLE,MINNESOTA WALDORF,16,0.3750,0.3125,0.3125,0.0000,
TRUMAN,TRUMAN PUBLIC SCHOOL,18,0.3889,0.6111,0.0000,0.0000,
FIT ACADEMY,FIT ACADEMY,33,0.3939,0.4848,0.1212,0.0000,
MASTERY SCHOOL,MASTERY SCHOOL,38,0.3947,0.6053,0.0000,0.0000,
BLUE EARTH AREA PUBLIC SCHOOL,GENESIS CLASSICAL ACADEMY,10,0.4000,0.5000,0.1000,0.0000,
MILACA,FAITH CHRISTIAN,5,0.4000,0.6000,0.0000,0.0000,
ROBBINSDALE,RIVERTREE SCHOOL,10,0.4000,0.0000,0.6000,0.0000,
UNIVERSAL ACADEMY CHARTER SCHOOL,UNIVERSAL ACADEMY CHARTER SCHOOL,47,0.4043,0.5957,0.0000,0.0000,
DULUTH,MANY RIVERS MONTESSORI,12,0.4167,0.3333,0.2500,0.0000,
HARVEST PREP SCHOOL/SEED ACADEMY,HARVEST PREP SCHOOL/SEED ACADEMY,47,0.4255,0.5745,0.0000,0.0000,
LACRESCENT MONTESSORI ACADEMY,LACRESCENT MONTESSORI ACADEMY,7,0.4286,0.4286,0.1429,0.0000,
