school_district,school_name,K_enroll,DTAP_pct_vac,DTAP_partial_nodoses,DTAP_pct_nonmedical,DTAP_pct_medical,POLIO_pct_vac,POLIO_partial_nodoses,POLIO_pct_nonmedical,POLIO_pct_medical,MMR_pct_vac,MMR_pct_nodoses,MMR_pct_nonmedical,MMR_pct_medical,HEPB_pct_vac,HEPB_pct_partial_nodoses,HEPB_pct_nonmedical,HEPB_pct_medical,VARICEL_pct_vac,VARICEL_partial_nodoses,VARICEL_pct_disease_history,VARICEL_pct_nonmedical,VARICEL_pct_medical,category
BURNSVILLE,M.W. SAVAGE EL.,58,0.8793,0.0345,0.0862,0,0.931,0,0.069,0,0.0000,0.9138,0.0862,0,0.9828,0,0.0172,0,0.931,0,0.0172,0.0517,0,very low
DELANO,MT OLIVE LUTHERAN,5,0,1,0,0,0,1,0,0,0.0000,1,0,0,0,1,0,0,0,1,0,0,0,very low
STILLWATER,ST CROIX MONTESSORI,9,0.5556,0.4444,0,0,0.2222,0.7778,0,0,0.0000,1,0,0,0,1,0,0,0.4444,0.5556,0,0,0,very low
FERGUS FALLS,IQ ACADEMY,10,0.2,0.8,0,0,0.1,0.9,0,0,0.2000,0.8,0,0,0.5,0.5,0,0,0.2,0.8,0,0,0,very low
ART AND SCIENCE ACADEMY,ART AND SCIENCE ACADEMY,45,0.3556,0.6,0.0444,0,0.2222,0.7333,0.0444,0,0.3600,0.6,0.0444,0,0.4,0.5556,0.0444,0,0.3111,0.6444,0,0.0444,0,very low
BEST ACADEMY,BEST ACADEMY EAST,45,0.3556,0.6444,0,0,0.3556,0.6444,0,0,0.3600,0.6444,0,0,0.3556,0.6444,0,0,0.3556,0.6444,0,0,0,very low
ROSEVILLE,MINNESOTA WALDORF,16,0.375,0.3125,0.3125,0,0.3125,0.3125,0.375,0,0.3800,0.3125,0.3125,0,0.5625,0.125,0.3125,0,0.375,0.3125,0,0.3125,0,very low
DULUTH,SPIRIT OF THE LAKE COMMUNITY SCHOOL,8,0.5,0,0.5,0,0.25,0.375,0.375,0,0.3800,0.375,0.25,0,0.625,0,0.375,0,0.25,0.5,0,0.25,0,very low
TRUMAN,TRUMAN PUBLIC SCHOOL,18,0.3333,0.6667,0,0,0.3333,0.6667,0,0,0.3900,0.6111,0,0,0.9444,0.0556,0,0,0.3333,0.6667,0,0,0,very low
FIT ACADEMY,FIT ACADEMY,33,0.4545,0.4242,0.1212,0,0.5455,0.3333,0.1212,0,0.3900,0.4848,0.1212,0,0.6667,0.2424,0.0909,0,0.4848,0.3939,0,0.1212,0,very low
MASTERY SCHOOL,MASTERY SCHOOL,38,0.3947,0.6053,0,0,0.3947,0.6053,0,0,0.3900,0.6053,0,0,0.4211,0.5789,0,0,0.3947,0.6053,0,0,0,very low
ROBBINSDALE,RIVERTREE SCHOOL,10,0.4,0,0.6,0,0.3,0,0.7,0,0.4000,0,0.6,0,0.4,0,0.6,0,0.4,0,0,0.6,0,very low
BLUE EARTH AREA PUBLIC SCHOOL,GENESIS CLASSICAL ACADEMY,10,0.5,0.4,0.1,0,0.4,0.5,0.1,0,0.4000,0.5,0.1,0,0.9,0.1,0,0,0.4,0.5,0,0.1,0,very low
MILACA,FAITH CHRISTIAN,5,0.4,0.6,0,0,0.6,0.4,0,0,0.4000,0.6,0,0,0.6,0.4,0,0,0.4,0.6,0,0,0,very low
UNIVERSAL ACADEMY CHARTER SCHOOL,UNIVERSAL ACADEMY CHARTER SCHOOL,47,0.4255,0.5745,0,0,0.5745,0.4255,0,0,0.4000,0.5957,0,0,0.5957,0.4043,0,0,0.4681,0.5319,0,0,0,very low
DULUTH,MANY RIVERS MONTESSORI,12,0.4167,0.3333,0.25,0,0.4167,0.3333,0.25,0,0.4200,0.3333,0.25,0,0.75,0,0.25,0,0.3333,0.4167,0,0.25,0,very low
HARVEST PREP SCHOOL/SEED ACADEMY,HARVEST PREP SCHOOL/SEED ACADEMY,47,0.4255,0.5745,0,0,0.4255,0.5745,0,0,0.4300,0.5745,0,0,0.4255,0.5745,0,0,0.4255,0.5745,0,0,0,very low
LACRESCENT MONTESSORI ACADEMY,LACRESCENT MONTESSORI ACADEMY,7,0.4286,0.4286,0.1429,0,0.5714,0.2857,0.1429,0,0.4300,0.4286,0.1429,0,0.4286,0.4286,0.1429,0,0.2857,0.5714,0,0.1429,0,very low
PRIOR LAKE-SAVAGE AREA SCHOOLS,PRIOR LAKE CHRISTIAN ACADEMY,9,0.4444,0.4444,0.1111,0,0.4444,0.4444,0.1111,0,0.4400,0.4444,0.1111,0,0.3333,0.4444,0.2222,0,0.4444,0.4444,0,0.1111,0,very low
CEDAR RIVERSIDE COMMUNITY SCHOOL,CEDAR RIVERSIDE COMMUNITY SCHOOL,20,0.7,0.3,0,0,0.7,0.3,0,0,0.4500,0.55,0,0,0.9,0.1,0,0,0.55,0.45,0,0,0,very low
MINNEAPOLIS,CITY OF LAKES WALDORF,49,0.4082,0.2245,0.3673,0,0.4082,0.2245,0.3673,0,0.4700,0.1633,0.3673,0,0.3673,0.2449,0.3878,0,0.4286,0.1837,0,0.3878,0,very low
HILL CITY,HILL CITY EL.,19,0.9474,0.0526,0,0,1,0,0,0,0.4700,0.5263,0,0,1,0,0,0,0.8421,0.1579,0,0,0,very low
NASHA SHKOLA,NASHA SHKOLA,23,0.4348,0.4348,0.1304,0,0.5652,0.3043,0.1304,0,0.4800,0.3913,0.1304,0,0.6522,0.2174,0.1304,0,0.4348,0.3913,0.0435,0.1304,0,very low
HIGHER GROUND ACADEMY,HIGHER GROUND ACADEMY,72,0.6389,0.3611,0,0,0.625,0.375,0,0,0.4900,0.5139,0,0,0.875,0.125,0,0,0.5972,0.4028,0,0,0,very low
WORTHINGTON,WORTHINGTON 518 (VIRTUAL INSTRUCTION BY EXCELLENCE),60,0.5,0.1,0.4,0,0.4333,0.1333,0.4333,0,0.5000,0.1167,0.3833,0,0.5833,0.0333,0.3833,0,0.4667,0.1333,0,0.4,0,very low
MELROSE,ST JOHN - ST ANDREW,6,0.5,0.1667,0.3333,0,0.5,0.1667,0.3333,0,0.5000,0.1667,0.3333,0,0.5,0.1667,0.3333,0,0.5,0.1667,0,0.3333,0,very low
HOPKINS,MINNETONKA CHRISTIAN ACADEMY,6,0.5,0.3333,0.1667,0,0.5,0.3333,0.1667,0,0.5000,0.3333,0.1667,0,0.6667,0.1667,0.1667,0,0.5,0.3333,0.1667,0,0,very low
THIEF RIVER FALLS,ST JOHN LUTHERAN SCHOOL,6,0.5,0.3333,0.1667,0,0.6667,0.1667,0.1667,0,0.5000,0.3333,0.1667,0,0.8333,0,0.1667,0,0.3333,0.5,0.1667,0,0,very low
SUCCESS ACADEMY,SUCCESS ACADEMY,12,0.9167,0,0.0833,0,0.9167,0,0.0833,0,0.5000,0.4167,0.0833,0,0.6667,0.25,0.0833,0,0.5833,0.3333,0,0.0833,0,very low
KINGSLAND,KINGSLAND EL.,47,0.5319,0.4468,0.0213,0,0.4894,0.4894,0.0213,0,0.5100,0.4681,0.0213,0,0.8511,0.1489,0,0,0.4681,0.4894,0,0.0213,0.0213,very low
DUGSI ACADEMY,DUGSI ACADEMY,17,0.6471,0.3529,0,0,0.6471,0.3529,0,0,0.5300,0.4706,0,0,0.5882,0.4118,0,0,0.6471,0.3529,0,0,0,very low
ST. LOUIS PARK,HOLY FAMILY ACADEMY,15,0.6667,0,0.3333,0,0.6667,0,0.3333,0,0.5300,0.1333,0.3333,0,0.6667,0,0.3333,0,0.5333,0.1333,0,0.3333,0,very low
ANOKA-HENNEPIN,WAY OF THE SHEPHERD,13,0.5385,0,0.4615,0,0.6923,0,0.3077,0,0.5400,0.0769,0.3846,0,0.5385,0,0.4615,0,0.4615,0,0,0.5385,0,very low
UPSALA,UPSALA AREA SCHOOLS,20,0.5,0.45,0.05,0,0.55,0.4,0.05,0,0.5500,0.4,0.05,0,0.7,0.25,0.05,0,0.55,0.4,0,0.05,0,very low
WAYZATA,FOURTH BAPTIST,25,0.56,0.04,0.4,0,0.68,0,0.32,0,0.5600,0.04,0.4,0,0.72,0,0.28,0,0.48,0.04,0.16,0.32,0,very low
ROSEMOUNT-APPLE VALLEY-EAGAN,FIRST BAPTIST,19,0.5789,0.1053,0.3158,0,0.6842,0,0.3158,0,0.5800,0,0.4211,0,0.7895,0,0.2105,0,0.6842,0.0526,0,0.2632,0,very low
TWIN CITIES INTERNATIONAL ELEM SCH,TWIN CITIES INTERNATIONAL ELEM SCH,112,0.6429,0.3571,0,0,0.7768,0.2232,0,0,0.5900,0.4107,0,0,0.9375,0.0625,0,0,0.6964,0.3036,0,0,0,very low
BEMIDJI,ST. MARK,5,0.8,0,0.2,0,0.8,0,0.2,0,0.6000,0.2,0.2,0,0.8,0,0.2,0,0.6,0.2,0,0.2,0,very low
NICOLLET,TRINITY LUTHERAN,5,0.6,0.2,0.2,0,0.6,0.2,0.2,0,0.6000,0.2,0.2,0,0.8,0,0.2,0,0.6,0.2,0,0.2,0,very low
NEW PRAGUE AREA SCHOOLS,HOLY CROSS CATHOLIC SCHOOL,10,0.5,0.2,0.3,0,0.6,0.1,0.3,0,0.6000,0.2,0.2,0,0.7,0,0.3,0,0.7,0,0.1,0.2,0,very low
NICOLLET,IMMANUEL LUTHERAN,5,0.6,0.4,0,0,0.6,0.4,0,0,0.6000,0.4,0,0,1,0,0,0,0.6,0.4,0,0,0,very low
HOUSTON,MINNESOTA VIRTUAL ACADEMY,38,0.5789,0.4211,0,0,0.6053,0.3947,0,0,0.6100,0.3947,0,0,0.7368,0.2632,0,0,0.5789,0.4211,0,0,0,very low
NEW CITY SCHOOL,NEW CITY SCHOOL - MAIN CAMPUS,36,0.7778,0.0278,0.1944,0,0.6389,0.1667,0.1944,0,0.6100,0.1944,0.1944,0,0.6111,0.1944,0.1944,0,0.5556,0.2222,0.0278,0.1944,0,very low
CAMPBELL-TINTAH,CAMPBELL-TINTAH PUBLIC SCHOOL,13,0.6923,0.3077,0,0,0.6923,0.3077,0,0,0.6200,0.3846,0,0,1,0,0,0,0.6154,0.3846,0,0,0,very low
ST. PAUL,CHEROKEE HEIGHTS,42,0.619,0.3571,0.0238,0,0.619,0.3571,0.0238,0,0.6200,0.3571,0.0238,0,0.9048,0.0714,0.0238,0,0.619,0.3571,0,0.0238,0,very low
MINNEAPOLIS,NELLIE STONE JOHNSON EL.,71,0.6056,0.3803,0.0141,0,0.6056,0.3803,0.0141,0,0.6200,0.3662,0.0141,0,0.831,0.1549,0.0141,0,0.5915,0.3944,0,0.0141,0,very low
BURNSVILLE,CYPRUS CLASSICAL MONTESSORI & ACADEMY,8,0.625,0,0.375,0,0.625,0,0.375,0,0.6300,0,0.375,0,0.75,0,0.25,0,0.625,0,0,0.375,0,very low
HASTINGS,PINE HARBOR CHRISTIAN ACADEMY,8,0.625,0,0.375,0,0.625,0,0.375,0,0.6300,0,0.375,0,0.625,0,0.375,0,0.625,0,0,0.375,0,very low
MAPLE LAKE,ST TIMOTHY,8,0.625,0.25,0.125,0,0.5,0.375,0.125,0,0.6300,0.25,0.125,0,0.875,0,0.125,0,0.625,0.25,0,0.125,0,very low
PERHAM,ST PAULS LUTHERAN,16,0.8125,0.125,0.0625,0,0.5,0.4375,0.0625,0,0.6300,0.3125,0.0625,0,0.8125,0.125,0.0625,0,0.625,0.3125,0,0.0625,0,very low
RIVERWAY LEARNING COMMUNITY CHTR,RIVERWAY LEARNING COMMUNITY CHTR,8,1,0,0,0,0.625,0.375,0,0,0.6300,0.375,0,0,1,0,0,0,0.625,0.375,0,0,0,very low
TESFA INTERNATIONAL SCHOOL,TESFA INTERNATIONAL SCHOOL,32,0.625,0.375,0,0,0.625,0.375,0,0,0.6300,0.375,0,0,0.75,0.25,0,0,0.6563,0.3438,0,0,0,very low
PRINSBURG,CENTRAL MINNESOTA CHRISTIAN,30,0.7,0.2,0.1,0,0.7,0.2,0.1,0,0.6300,0.2667,0.1,0,0.8667,0.0333,0.1,0,0.7667,0,0.1,0.1333,0,very low
BLOOMINGTON,BLOOMINGTON LUTHERAN,11,0.6364,0,0.3636,0,0.5455,0,0.4545,0,0.6400,0,0.3636,0,0.7273,0,0.2727,0,0.6364,0,0,0.3636,0,very low
BEMIDJI,HEARTLAND CHRISTIAN ACADEMY,11,0.5455,0.1818,0.2727,0,0.6364,0.0909,0.2727,0,0.6400,0.0909,0.2727,0,0.6364,0,0.3636,0,0.6364,0.0909,0,0.2727,0,very low
MINNESOTA STATE ACADEMIES,MN ACADEMY FOR THE DEAF,11,0.5455,0.2727,0.1818,0,0.6364,0.1818,0.1818,0,0.6400,0.1818,0.1818,0,0.6364,0.1818,0.1818,0,0.6364,0.0909,0.0909,0.1818,0,very low
NORTH SHORE COMMUNITY SCHOOL,NORTH SHORE COMMUNITY SCHOOL,50,0.64,0.3,0.06,0,0.52,0.42,0.06,0,0.6600,0.28,0.06,0,0.7,0.3,0,0,0.48,0.46,0,0.06,0,very low
EAGLE RIDGE ACADEMY CHARTER SCHOOL,EAGLE RIDGE ACADEMY CHARTER SCHOOL,136,0.6912,0.3015,0.0074,0,0.6912,0.3015,0.0074,0,0.6600,0.3309,0.0074,0,0.8162,0.1765,0.0074,0,0.6691,0.3162,0,0.0147,0,very low
CHASKA,CHAPEL HILL ACADEMY,21,0.7619,0,0.2381,0,0.7143,0,0.2857,0,0.6700,0,0.3333,0,0.7619,0,0.2381,0,0.6667,0,0,0.3333,0,very low
WATERTOWN-MAYER,CHRIST COMMUNITY,12,0.75,0.1667,0.0833,0,0.8333,0,0.1667,0,0.6700,0.1667,0.1667,0,0.6667,0.1667,0.1667,0,0.5,0.25,0.0833,0.1667,0,very low
WHITE BEAR LAKE,WHITE BEAR MONTESSORI SCHOOL,9,0.6667,0.2222,0.1111,0,0.6667,0.2222,0.1111,0,0.6700,0.2222,0.1111,0,0.8889,0,0.1111,0,0.6667,0.2222,0,0.1111,0,very low
FAIRMONT AREA SCHOOLS,ST JAMES LUTHERAN,6,0.8333,0.1667,0,0,0.8333,0.1667,0,0,0.6700,0.3333,0,0,1,0,0,0,0.6667,0.3333,0,0,0,very low
MINNEOTA,ST EDWARD,6,0.6667,0.3333,0,0,0.6667,0.3333,0,0,0.6700,0.3333,0,0,0.8333,0.1667,0,0,0.6667,0.3333,0,0,0,very low
STONEBRIDGE COMMUNITY SCHOOL,STONEBRIDGE  WORLD SCHOOL,34,0.6765,0.2941,0.0294,0,0.6765,0.2941,0.0294,0,0.6800,0.2941,0.0294,0,0.8235,0.1471,0.0294,0,0.6765,0.2941,0,0.0294,0,very low
PINE RIVER-BACKUS,PINE RIVER-BACKUS ELEMENTARY  K-6,65,0.6923,0.2308,0.0769,0,0.7231,0.2,0.0769,0,0.6800,0.2462,0.0769,0,0.9077,0.0154,0.0769,0,0.6462,0.2615,0.0154,0.0769,0,very low
MINNESOTA TRANSITIONS CHARTER SCH,MINNESOTA CONNECTIONS ACADEMY,53,0.6792,0.0377,0.283,0,0.6792,0.0377,0.283,0,0.6800,0.0377,0.283,0,0.6792,0.0377,0.283,0,0.6604,0.0377,0,0.3019,0,very low
GRANADA HUNTLEY-EAST CHAIN,GRANADA-HUNTLEY EAST CHAIN,25,0.68,0.16,0.16,0,0.68,0.16,0.16,0,0.6800,0.16,0.16,0,0.8,0.04,0.16,0,0.68,0.16,0,0.16,0,very low
ROSEVILLE,NORTH HEIGHTS CHRISTIAN ACADEMY,26,0.6923,0.1923,0.1154,0,0.7308,0.1538,0.1154,0,0.6900,0.1923,0.1154,0,0.6923,0.1923,0.1154,0,0.6923,0.1923,0,0.1154,0,very low
LITTLEFORK-BIG FALLS,LITTLEFORK-BIG FALLS EL.,26,0.6923,0.2692,0.0385,0,0.6923,0.2692,0.0385,0,0.6900,0.2692,0.0385,0,0.8462,0.1154,0.0385,0,0.6923,0.2692,0,0.0385,0,very low
WAYZATA,REDEEMER CHRISTIAN ACADEMY,10,0.9,0,0.1,0,0.7,0,0.3,0,0.7000,0,0.3,0,0.7,0,0.3,0,0.7,0,0,0.3,0,very low
PACT CHARTER SCHOOL,PACT CHARTER SCHOOL,40,0.725,0,0.275,0,0.7,0.025,0.275,0,0.7000,0,0.3,0,0.775,0.025,0.2,0,0.7,0.025,0.025,0.25,0,very low
