"district","school","enroll","mmr_pct","mmr_partial","mmr_nonmedical","notes","MMR_pct_vac","MMR_pct_nodoses","MMR_pct_nonmedical","category"
"ST. CLOUD","ST ROBERT BELLARMINE ACADEMY",6,0.3333,0,0.6667,NA,NA,NA,NA,"Enrollment < 5"
"EAST CENTRAL","HARVEST CHRISTIAN SCHOOL",5,0.4,0.2,0.4,NA,NA,NA,NA,"Enrollment < 5"
"RED WING","ST JOHNS LUTHERAN-RED WING",7,0.4286,0.5714,0,NA,1,0,0,"95 and above"
"LEVEL UP ACADEMY","LEVEL UP ACADEMY",6,0.5,0.1667,0.3333,NA,0.74,0,0.2632,"very low"
"LOVEWORKS ACADEMY FOR ARTS","LOVEWORKS ACADEMY FOR ARTS",14,0.5,0.5,0,NA,0.8,0.2,0,"very low"
"MAPLE LAKE","ST TIMOTHY",8,0.5,0,0.5,NA,0.63,0.25,0.125,"very low"
"UNIVERSAL ACADEMY CHARTER SCHOOL","UNIVERSAL ACADEMY CHARTER SCHOOL",22,0.5455,0.4545,0,NA,0.4,0.5957,0,"very low"
"BAGLEY","FHL ACADEMY",9,0.5556,0.2222,0.2222,NA,NA,NA,NA,"Enrollment < 5"
"NICOLLET","IMMANUEL LUTHERAN",5,0.6,0,0.4,NA,0.6,0.4,0,"very low"
"FERGUS FALLS","IQ ACADEMY",42,0.6667,0.3095,0.0238,NA,0.2,0.8,0,"very low"
"LAKE CITY","ST JOHNS LUTHERAN",6,0.6667,0,0.3333,NA,1,0,0,"95 and above"
"MINNESOTA STATE ACADEMIES","MN ACADEMY FOR THE DEAF",6,0.6667,0,0.3333,NA,0.64,0.1818,0.1818,"very low"
"ST. CLOUD","ST CLOUD CHRISTIAN",15,0.6667,0,0.3333,NA,0.71,0,0.2857,"very low"
"EDINA","CALVIN CHRISTIAN - EDINA",7,0.7143,0,0.2857,NA,0.88,0.0588,0.0588,"low(85-95)"
"GOODHUE","ST JOHNS LUTHERAN-GOODHUE",7,0.7143,0,0.2857,NA,0.91,0.0909,0,"low(85-95)"
"LEWISTON-ALTURA","IMMANUEL LUTHERAN",7,0.7143,0,0.2857,NA,1,0,0,"95 and above"
"N.E. METRO INTERMEDIATE DIST. 916","KARNER BLUE ELEMENTARY",7,0.7143,0.1429,0.1429,NA,0.86,0.1429,0,"low(85-95)"
"WAYZATA","REDEEMER CHRISTIAN ACADEMY",14,0.7143,0,0.2857,NA,0.7,0,0.3,"very low"
"ROCHESTER MATH AND SCIENCE ACADEMY","ROCHESTER MATH AND SCIENCE ACADEMY",41,0.7317,0.2683,0,NA,0.72,0.2813,0,"very low"
"MILACA","FAITH CHRISTIAN",8,0.75,0,0.25,NA,0.4,0.6,0,"very low"
"HIGHER GROUND ACADEMY","HIGHER GROUND ACADEMY",72,0.7639,0.2361,0,NA,0.49,0.5139,0,"very low"
"STEP ACADEMY","STEP ACADEMY",44,0.7727,0.2273,0,NA,1,0,0,"95 and above"
"NEW MILLENNIUM ACADEMY CHARTER SCH","NEW MILLENNIUM ACADEMY CHARTER SCH",67,0.7761,0.2239,0,NA,0.81,0.1939,0,"very low"
"MINNEAPOLIS","CITY OF LAKES WALDORF",27,0.7778,0.037,0.1852,NA,0.47,0.1633,0.3673,"very low"
"WHITE BEAR LAKE","LIBERTY CLASSICAL",18,0.7778,0,0.2222,NA,0.96,0,0.0435,"95 and above"
"ROSEVILLE","MINNESOTA WALDORF",23,0.7826,0,0.2174,NA,0.38,0.3125,0.3125,"very low"
"ASPEN ACADEMY","ASPEN ACADEMY",40,0.8,0,0.2,NA,0.74,0.0114,0.25,"very low"
"BELLE PLAINE","TRINITY LUTHERAN",5,0.8,0,0.2,NA,0.88,0,0.125,"low(85-95)"
"NEW PRAGUE AREA SCHOOLS","HOLY CROSS CATHOLIC SCHOOL",10,0.8,0,0.2,NA,0.6,0.2,0.2,"very low"
"PRIOR LAKE-SAVAGE AREA SCHOOLS","PRIOR LAKE CHRISTIAN ACADEMY",5,0.8,0,0.2,NA,0.44,0.4444,0.1111,"very low"
"RIVERWAY LEARNING COMMUNITY CHTR","RIVERWAY LEARNING COMMUNITY CHTR",10,0.8,0.2,0,NA,0.63,0.375,0,"very low"
"DUGSI ACADEMY","DUGSI ACADEMY",26,0.8077,0.1923,0,NA,0.53,0.4706,0,"very low"
"BLUFFVIEW MONTESSORI","BLUFFVIEW MONTESSORI",22,0.8182,0,0.1818,NA,0.91,0.0435,0.0435,"low(85-95)"
"CHASKA","ST JOHNS LUTHERAN-CHASKA",11,0.8182,0,0.1818,NA,1,0,0,"95 and above"
"LAKEVILLE","CHRISTIAN HERITAGE ACADEMY",11,0.8182,0,0.1818,NA,0.75,0,0.25,"very low"
"WIN-E-MAC","WIN-E-MAC SCHOOL",33,0.8182,0.0303,0.1515,NA,0.94,0,0.0625,"low(85-95)"
"ATHLOS ACADEMY","ATHLOS ACADEMY OF ST CLOUD",70,0.8286,0.1429,0.0286,NA,0.85,0.1294,0.0235,"low(85-95)"
"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL",12,0.8333,0.1667,0,NA,0.45,0.55,0,"very low"
"FIT ACADEMY","FIT ACADEMY",24,0.8333,0.1667,0,NA,0.39,0.4848,0.1212,"very low"
"MINNEAPOLIS","LAKE COUNTRY",25,0.84,0,0.16,NA,0.94,0,0.0645,"low(85-95)"
"NORWOOD","ST JOHNS LUTHERAN-YOUNG AMERICA",13,0.8462,0,0.1538,NA,NA,NA,NA,"Enrollment < 5"
"BIRD ISLAND-OLIVIA-LAKE LILLIAN","ST MARY",14,0.8571,0,0.1429,NA,0.72,0,0.2778,"very low"
"DULUTH","MANY RIVERS MONTESSORI",7,0.8571,0.1429,0,NA,0.42,0.3333,0.25,"very low"
"MINNETONKA","ST THERESE",14,0.8571,0,0.1429,NA,0.75,0.1667,0.0833,"very low"
"MOUNTAIN LAKE","MOUNTAIN LAKE CHRISTIAN",7,0.8571,0,0.1429,NA,0.88,0,0.125,"low(85-95)"
"ROBBINSDALE","RIVERTREE SCHOOL",7,0.8571,0,0.1429,NA,0.4,0,0.6,"very low"
"SCHOOLCRAFT LEARNING COMMUNITY","SCHOOLCRAFT LEARNING COMMUNITY",21,0.8571,0.0476,0.0952,NA,0.9,0.05,0.05,"low(85-95)"
"WAYZATA","FOURTH BAPTIST",14,0.8571,0.0714,0.0714,NA,0.56,0.04,0.4,"very low"
"MINNESOTA TRANSITIONS CHARTER SCH","MINNESOTA CONNECTIONS ACADEMY",191,0.8586,0.0419,0.0995,NA,0.68,0.0377,0.283,"very low"
"BEACON ACADEMY","BEACON ACADEMY",51,0.8627,0,0.1373,NA,0.94,0.0128,0.0513,"low(85-95)"
"ST. ANTHONY-NEW BRIGHTON","ST CHARLES BORROMEO",22,0.8636,0.1364,0,NA,0.94,0.0571,0,"low(85-95)"
"CHASKA","CHAPEL HILL ACADEMY",37,0.8649,0,0.1081,NA,0.67,0,0.3333,"very low"
"HOPKINS","INTERNATIONAL SCHOOL OF MINNESOTA",15,0.8667,0,0.1333,NA,1,0,0,"95 and above"
"WEST SIDE SUMMIT CHARTER SCHOOL","WEST SIDE SUMMIT CHARTER SCHOOL",15,0.8667,0.1333,0,NA,0.95,0.05,0,"95 and above"
"HOUSTON","MINNESOTA VIRTUAL ACADEMY",125,0.872,0.064,0.056,NA,0.61,0.3947,0,"very low"
"HOWARD LAKE-WAVERLY-WINSTED","ST JAMES LUTHERAN",8,0.875,0,0.125,NA,0.89,0.1111,0,"low(85-95)"
"LAKEVILLE","LINK12 LAKEVILLE",8,0.875,0.125,0,NA,NA,NA,NA,"Enrollment < 5"
"MINNESOTA NEW COUNTRY SCHOOL","MINNESOTA NEW COUNTRY SCHOOL",16,0.875,0,0.125,NA,0.8,0.1333,0.0667,"very low"
"WORTHINGTON","WORTHINGTON 518 (VIRTUAL INSTRUCTION BY EXCELLENCE)",24,0.875,0.0417,0.0833,NA,0.5,0.1167,0.3833,"very low"
