district,school,enroll,dtap_pct_vac,dtap_partial,dtap_nonmedical,dtap_medical,polio_pct,polio_partial,polio_nonmedical,polio_medical,mmr_pct,mmr_partial,mmr_nonmedical,mmr_medical,hepb_pct,hepb_partial,hepb_nonmedical,hepb_medical,varicella_pct,varicella_partial,varicella_diseasehistory,varicella_nonmedical,varicella_medical,tdap_pct,tdap_nodoses,tdap_nonmedical,tdap_medical,meningococcal_pct,meningococcal_nodoses,meningococcal_nonmedical,meningococcal_medical,notes
ST. CLOUD,ST ROBERT BELLARMINE ACADEMY,6,0.3333,0.0000,0.6667,0.0000,0.3333,0.0000,0.6667,0.0000,0.3333,0.0000,0.6667,0.0000,0.3333,0.0000,0.6667,0.0000,0.3333,0.0000,0.0000,0.6667,0.0000,0.3333,0.0000,0.6667,0.0000,0.3333,0.0000,0.6667,0.0000,
JANE GOODALL ENVIRONMENTAL SCIENCES ACADEMY,JANE GOODALL ENVIRONMENTAL SCIENCES ACADEMY,17,0.4118,0.3529,0.2353,0.0000,0.2941,0.4118,0.2941,0.0000,0.3529,0.3529,0.2941,0.0000,0.2941,0.4706,0.2353,0.0000,0.2941,0.4118,0.2941,0.0000,0.0000,0.1176,0.6471,0.2353,0.0000,0.1176,0.7059,0.1765,0.0000,
EAST CENTRAL,HARVEST CHRISTIAN SCHOOL,5,0.4000,0.2000,0.4000,0.0000,0.4000,0.2000,0.4000,0.0000,0.4000,0.2000,0.4000,0.0000,0.4000,0.2000,0.4000,0.0000,0.4000,0.2000,0.0000,0.4000,0.0000,0.4000,0.2000,0.4000,0.0000,0.0000,0.6000,0.4000,0.0000,
RED WING,ST JOHNS LUTHERAN-RED WING,7,0.4286,0.5714,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.4286,0.5714,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.4286,0.5714,0.0000,0.0000,0.4286,0.5714,0.0000,0.0000,
LEVEL UP ACADEMY,LEVEL UP ACADEMY,6,0.6667,0.0000,0.3333,0.0000,0.3333,0.3333,0.3333,0.0000,0.5000,0.1667,0.3333,0.0000,0.6667,0.0000,0.3333,0.0000,0.5000,0.1667,0.0000,0.3333,0.0000,0.6667,0.0000,0.3333,0.0000,0.6667,0.0000,0.3333,0.0000,
LOVEWORKS ACADEMY FOR ARTS,LOVEWORKS ACADEMY FOR ARTS,14,0.4286,0.5714,0.0000,0.0000,0.4286,0.5714,0.0000,0.0000,0.5000,0.5000,0.0000,0.0000,0.4286,0.5714,0.0000,0.0000,0.4286,0.5714,0.0000,0.0000,0.0000,0.2857,0.7143,0.0000,0.0000,0.2857,0.7143,0.0000,0.0000,
MAPLE LAKE,ST TIMOTHY,8,0.5000,0.1250,0.3750,0.0000,0.5000,0.1250,0.3750,0.0000,0.5000,0.0000,0.5000,0.0000,0.5000,0.0000,0.5000,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.3750,0.1250,0.5000,0.0000,0.0000,0.5000,0.5000,0.0000,
ART AND SCIENCE ACADEMY,ART & SCIENCE ACADEMY MIDDLE SCHOOL,70,0.5857,0.4143,0.0000,0.0000,0.5286,0.4714,0.0000,0.0000,0.5429,0.4571,0.0000,0.0000,0.4714,0.5286,0.0000,0.0000,0.5143,0.4714,0.0143,0.0000,0.0000,0.0143,0.9857,0.0000,0.0000,0.0143,0.9857,0.0000,0.0000,
UNIVERSAL ACADEMY CHARTER SCHOOL,UNIVERSAL ACADEMY CHARTER SCHOOL,22,0.5909,0.4091,0.0000,0.0000,0.5909,0.4091,0.0000,0.0000,0.5455,0.4545,0.0000,0.0000,0.4091,0.5909,0.0000,0.0000,0.5455,0.4545,0.0000,0.0000,0.0000,0.5909,0.4091,0.0000,0.0000,0.0455,0.9545,0.0000,0.0000,
BAGLEY,FHL ACADEMY,9,0.5556,0.2222,0.2222,0.0000,0.5556,0.2222,0.2222,0.0000,0.5556,0.2222,0.2222,0.0000,0.5556,0.2222,0.2222,0.0000,0.5556,0.2222,0.0000,0.2222,0.0000,0.2222,0.5556,0.2222,0.0000,0.2222,0.5556,0.2222,0.0000,
NICOLLET,IMMANUEL LUTHERAN,5,0.6000,0.0000,0.4000,0.0000,0.6000,0.0000,0.4000,0.0000,0.6000,0.0000,0.4000,0.0000,0.6000,0.0000,0.4000,0.0000,0.6000,0.0000,0.0000,0.4000,0.0000,0.8000,0.0000,0.2000,0.0000,0.6000,0.0000,0.4000,0.0000,
